Department and Year,Acknowledgement,Checking.forecasts,Visiting.Astrologer,Reason,Belief,Zodiac,Optimism,Empathy,Patience,Impulsivity,Organisation,Age,Health,Diseased,Medication,Mental.Health,Stress,Nature,Lifestyle,Aptitude,Hometown,Ethnicity,Religion,Gender,Education,Culture,Location
STSA-UG3,3,3,5,Influnced by others,4,Pisces,2,1,2,1,2,18,4,yes,no,3,4,Ambivert,4,3,Arambagh ,Bengali,Hinduism,Male,Higher Secondary,Bengali,Not Kolkata
CMEA-UG2,3,2,3,Curiosity,2,Pisces,4,4,3,2,4,19,3,no,no,4,3,Extrovert,4,4,Tinsukia,Marwari ,Hinduism,Female,Higher Secondary,Non-Bengali,Not Kolkata
MCBA-UG1,3,1,1,Have not visited,2,Scorpius,2,3,2,3,3,19,4,no,no,3,3,Ambivert,4,3,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG3,3,3,1,Have not visited,2,Scorpius,3,4,4,4,4,21,4,no,no,3,3,Ambivert,3,3,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG3,3,3,2,Influnced by others,2,Scorpius,4,4,3,3,3,18,4,yes,yes,3,4,Ambivert,4,3,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG1,2,2,2,Influnced by others,3,Scorpius,4,4,4,3,4,19,5,no,no,5,2,Ambivert,4,3,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
STSA-UG2,2,2,1,Have not visited,1,Scorpius,3,3,3,4,4,17,3,no,no,5,4,Ambivert,4,4,Kolkata,Bengali,Atheist,Male,Higher Secondary,Bengali,Kolkata
STSA-UG2,1,1,1,Have not visited,1,Scorpius,2,2,2,1,1,20,3,no,no,3,3,Introvert,3,3,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
STSA-UG2,1,1,1,Have not visited,1,Scorpius,3,4,4,2,3,21,4,no,no,4,3,Introvert,4,3,Kolkata,Bengali,Hinduism,Male,Higher Secondary,Bengali,Kolkata
BBAG-UG3,1,1,1,Have not visited,2,Scorpius,2,2,2,2,2,19,5,no,no,4,3,Introvert,4,4,Kolkata,Bengali,Christianity,Male,Higher Secondary,Bengali,Kolkata
CMEA-UG1,3,2,1,Have not visited,2,Scorpius,3,3,4,2,3,19,3,no,no,3,3,Introvert,4,2,Odisha ,Bihari,Hinduism,Female,Higher Secondary,Non-Bengali,Not Kolkata
COMA-UG2,5,4,3,Beliefs,4,Scorpius,2,2,2,1,2,21,4,no,no,4,4,Ambivert,3,4,Kolkata,Rajput,Hinduism,Male,Higher Secondary,Non-Bengali,Kolkata
MCVA-UG1,4,3,1,Beliefs,4,Aquarius,3,4,2,4,3,19,4,no,no,4,3,Ambivert,4,3,Kolkata,Bengali,Hinduism,Female,Higher Secondary,Bengali,Kolkata
